day,side,entry_et,exit_et,held_s,reason,points,pnl
2026-06-08,long,09:30:45,09:31:49,63.9,stop,-50.25,-1010.0
2026-06-08,short,09:32:30,10:35:38,3788.2,stop,-50.0,-1005.0
2026-06-08,short,10:37:30,10:46:46,556.4,stop,-51.5,-1035.0
2026-06-08,short,10:48:30,10:58:29,599.4,stop,-50.0,-1005.0
2026-06-08,long,11:01:30,11:04:00,150.0,jev,1.25,20.0
2026-06-08,short,11:04:00,11:20:18,978.6,stop,-50.0,-1005.0
2026-06-08,short,11:21:15,15:54:59,16424.7,eod,268.25,5360.0
2026-06-09,short,09:31:00,09:45:07,847.4,stop,-50.0,-1005.0
2026-06-09,long,09:45:30,09:48:30,180.0,jev,43.0,855.0
2026-06-09,short,09:48:30,15:54:59,21989.7,eod,784.75,15690.0
2026-06-10,short,09:31:30,09:32:04,34.3,stop,-50.25,-1010.0
2026-06-10,short,09:33:00,09:36:09,189.5,stop,-57.5,-1155.0
2026-06-10,long,09:37:45,09:39:45,120.0,jev,6.5,125.0
2026-06-10,short,09:39:45,09:43:39,234.1,stop,-50.0,-1005.0
2026-06-10,long,09:44:00,09:47:00,180.0,jev,13.25,260.0
2026-06-10,short,09:47:00,09:47:35,34.9,stop,-50.0,-1005.0
2026-06-10,long,09:48:15,09:50:30,135.0,jev,-15.25,-310.0
2026-06-10,short,09:50:30,10:09:22,1132.3,stop,-50.5,-1015.0
2026-06-10,short,10:10:45,10:12:14,89.5,stop,-50.0,-1005.0
2026-06-10,long,10:12:30,10:13:16,46.2,stop,-51.0,-1025.0
2026-06-10,short,10:13:30,10:23:44,614.2,stop,-56.0,-1125.0
2026-06-10,long,10:24:45,10:25:30,45.6,stop,-50.25,-1010.0
2026-06-10,long,10:27:30,10:28:30,60.0,jev,-23.5,-475.0
2026-06-10,short,10:28:30,10:34:42,371.8,stop,-50.0,-1005.0
2026-06-10,long,10:35:00,10:36:30,90.0,jev,-45.75,-920.0
2026-06-10,short,10:36:30,15:54:59,19109.7,eod,581.0,11615.0
